t,x,pgdp,paid,pgkf,inf,eoi,leb,gdpg,lgdp,laid,lpkf,lleb,leoi,_Ix_2,_Ix_3,_Ix_4,_It_1991,_It_1992,_It_1993,_It_1994,_It_1995,_It_1996,_It_1997,_It_1998,_It_1999,_It_2000,_It_2001,_It_2002,_It_2003,_It_2004,_It_2005,_It_2006,_It_2007,_It_2008,_It_2009,_It_2010,_It_2011,_It_2012,_It_2013,_It_2014,_It_2015
1990,Uganda,303.07397,60.934624,59.780022,44.380089,.27642107,45.056267,2.9088817,5.7139769,4.1098018,4.0906715,3.8079121,-1.2858299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Uganda,309.42239,56.801628,59.48019,26.019337,.24905647,44.612221,2.0946782,5.7347074,4.0395651,4.0856433,3.7980077,-1.3900756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,Uganda,309.69391,57.625309,54.897926,45.068027,.24669543,44.239292,.087752149,5.7355843,4.0539618,4.0054755,3.7896132,-1.3996007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Uganda,324.87668,48.755688,56.061146,30.136871,.21936961,43.95734,4.9025097,5.7834458,3.8868217,4.026443,3.7832196,-1.5169972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Uganda,334.96317,55.995407,59.884296,6.8484974,.24081735,43.794243,3.1047103,5.8140206,4.0252695,4.0924144,3.7795024,-1.4237165,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Uganda,362.18454,55.249683,81.823586,9.3764372,.31844953,43.783318,8.1266718,5.8921537,4.0118628,4.4045653,3.7792528,-1.1442913,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Uganda,383.24255,44.552975,87.204788,4.5724812,.34074524,43.957417,5.8141704,5.948668,3.796679,4.4682593,3.7832212,-1.0766202,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Uganda,390.93387,56.492085,83.177399,3.0952685,.35569441,44.318878,2.006902,5.9685383,4.0341005,4.4209757,3.7914107,-1.0336833,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Uganda,398.04172,44.717213,82.279449,8.7857065,.32927114,44.859097,1.8181731,5.986557,3.8003585,4.4101214,3.8035264,-1.1108737,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Uganda,417.22006,39.595928,92.454979,-.11313055,.34719273,45.564976,4.8181758,6.0336137,3.6787262,4.526722,3.8191392,-1.0578753,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Uganda,417.08286,57.038502,82.485657,11.117306,.31734961,46.419975,-.032882899,6.0332847,4.0437264,4.4126244,3.8377299,-1.1477512,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
